ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Wealth_Poorest,Wealth_Second,Wealth_Middle,Wealth_Fourth,Wealth_Richest,Level
NAM,Namibia,SSA,ESA,Less Developed,36,39,33,18,47,8,13,27,46,65,Upper_secondary
NRU,Nauru,EAP,EAP,Less Developed,,,,,,,,,,,Upper_secondary
NPL,Nepal,SA,SA,Least Developed,27,28,27,14,33,10,14,17,30,59,Upper_secondary
NLD,Netherlands,ECA,WE,More Developed,,,,,,,,,,,Upper_secondary
NZL,New Zealand,EAP,EAP,More Developed,,,,,,,,,,,Upper_secondary
NIC,Nicaragua,LAC,LAC,Less Developed,,,,,,,,,,,Upper_secondary
NER,Niger,SSA,WCA,Least Developed,2,1,4,0,9,0,0,0,0,8,Upper_secondary
NGA,Nigeria,SSA,WCA,Less Developed,49,44,57,34,71,12,28,50,72,88,Upper_secondary
NIU,Niue,EAP,EAP,Less Developed,,,,,,,,,,,Upper_secondary
MKD,North Macedonia,ECA,EECA,More Developed,83,79,86,84,82,56,78,86,99,100,Upper_secondary
NOR,Norway,ECA,WE,More Developed,,,,,,,,,,,Upper_secondary
OMN,Oman,MENA,MENA,Less Developed,,,,,,,,,,,Upper_secondary
PAK,Pakistan,SA,SA,Less Developed,23,23,24,15,35,1,8,15,30,55,Upper_secondary
PLW,Palau,EAP,EAP,Less Developed,,,,,,,,,,,Upper_secondary
PAN,Panama,LAC,LAC,Less Developed,63,68,57,38,72,21,45,66,82,95,Upper_secondary
PNG,Papua New Guinea,EAP,EAP,Less Developed,,,,,,,,,,,Upper_secondary
PRY,Paraguay,LAC,LAC,Less Developed,63,67,60,44,72,34,44,56,77,83,Upper_secondary
PER,Peru,LAC,LAC,Less Developed,75,72,78,47,83,34,59,78,89,95,Upper_secondary
PHL,Philippines,EAP,EAP,Less Developed,78,83,74,73,83,46,71,83,89,94,Upper_secondary
POL,Poland,ECA,WE,More Developed,,,,,,,,,,,Upper_secondary
PRT,Portugal,ECA,WE,More Developed,,,,,,,,,,,Upper_secondary
QAT,Qatar,MENA,MENA,Less Developed,,,,,,,,,,,Upper_secondary
KOR,Republic of Korea,EAP,EAP,Less Developed,,,,,,,,,,,Upper_secondary
MDA,Republic of Moldova,ECA,EECA,More Developed,67,71,63,53,82,25,52,64,80,87,Upper_secondary
ROU,Romania,ECA,EECA,More Developed,,,,,,,,,,,Upper_secondary
RUS,Russian Federation,ECA,EECA,More Developed,,,,,,,,,,,Upper_secondary
RWA,Rwanda,SSA,ESA,Least Developed,17,16,19,11,38,4,5,11,16,42,Upper_secondary
KNA,Saint Kitts and Nevis,LAC,LAC,Less Developed,,,,,,,,,,,Upper_secondary
LCA,Saint Lucia,LAC,LAC,Less Developed,80,90,70,81,77,54,80,85,93,96,Upper_secondary
VCT,Saint Vincent and the Grenadines,LAC,LAC,Less Developed,,,,,,,,,,,Upper_secondary
WSM,Samoa,EAP,EAP,Less Developed,,,,,,,,,,,Upper_secondary
SMR,San Marino,ECA,WE,More Developed,,,,,,,,,,,Upper_secondary
STP,Sao Tome and Principe,SSA,WCA,Least Developed,6,8,4,4,8,2,2,2,5,20,Upper_secondary
SAU,Saudi Arabia,MENA,MENA,Less Developed,,,,,,,,,,,Upper_secondary
SEN,Senegal,SSA,WCA,Least Developed,10,10,11,4,16,2,4,6,12,23,Upper_secondary
SRB,Serbia,ECA,EECA,More Developed,76,81,71,68,80,44,73,79,80,95,Upper_secondary
SYC,Seychelles,SSA,ESA,Less Developed,,,,,,,,,,,Upper_secondary
SLE,Sierra Leone,SSA,WCA,Least Developed,22,18,27,5,33,2,3,12,24,41,Upper_secondary
SGP,Singapore,EAP,EAP,Less Developed,,,,,,,,,,,Upper_secondary
SVK,Slovakia,ECA,WE,More Developed,,,,,,,,,,,Upper_secondary
SVN,Slovenia,ECA,WE,More Developed,,,,,,,,,,,Upper_secondary
SLB,Solomon Islands,EAP,EAP,Least Developed,,,,,,,,,,,Upper_secondary
SOM,Somalia,SSA,ESA,Least Developed,,,,,,,,,,,Upper_secondary
ZAF,South Africa,SSA,ESA,Less Developed,48,52,45,34,56,23,36,50,59,78,Upper_secondary
SSD,South Sudan,SSA,ESA,Least Developed,7,4,12,4,13,1,2,5,5,15,Upper_secondary
ESP,Spain,ECA,WE,More Developed,,,,,,,,,,,Upper_secondary
LKA,Sri Lanka,SA,SA,Less Developed,38,43,32,35,49,15,28,35,47,68,Upper_secondary
PSE,State of Palestine,MENA,MENA,Less Developed,62,73,52,64,62,50,62,57,63,79,Upper_secondary
SDN,Sudan,SSA,ESA,Least Developed,31,28,33,22,47,11,11,19,33,69,Upper_secondary
SUR,Suriname,LAC,LAC,Less Developed,22,26,18,12,26,7,7,16,31,52,Upper_secondary
SWE,Sweden,ECA,WE,More Developed,,,,,,,,,,,Upper_secondary
CHE,Switzerland,ECA,WE,More Developed,,,,,,,,,,,Upper_secondary
SYR,Syrian Arab Republic,MENA,MENA,Less Developed,,,,,,,,,,,Upper_secondary
TJK,Tajikistan,ECA,EECA,Less Developed,70,63,80,68,74,63,63,66,73,79,Upper_secondary
THA,Thailand,EAP,EAP,Less Developed,65,72,59,58,71,38,59,63,73,88,Upper_secondary
TLS,Timor-Leste,EAP,EAP,Least Developed,52,55,49,36,76,19,28,43,61,81,Upper_secondary
TGO,Togo,SSA,WCA,Least Developed,21,12,31,9,32,1,7,18,26,37,Upper_secondary
TKL,Tokelau,EAP,EAP,Not Classified,,,,,,,,,,,Upper_secondary
TON,Tonga,EAP,EAP,Less Developed,51,56,45,50,55,20,37,54,66,75,Upper_secondary
TTO,Trinidad and Tobago,LAC,LAC,Less Developed,,,,,,,,,,,Upper_secondary
TUN,Tunisia,MENA,MENA,Less Developed,49,57,40,30,57,24,31,48,59,80,Upper_secondary
TUR,Turkey,ECA,EECA,Less Developed,47,44,51,26,52,13,35,46,62,82,Upper_secondary
TKM,Turkmenistan,ECA,EECA,Less Developed,94,95,93,94,94,89,94,97,94,96,Upper_secondary
TCA,Turks and Caicos Islands,LAC,LAC,Not Classified,,,,,,,,,,,Upper_secondary
TUV,Tuvalu,EAP,EAP,Least Developed,,,,,,,,,,,Upper_secondary
UGA,Uganda,SSA,ESA,Least Developed,17,15,18,11,30,3,6,7,14,38,Upper_secondary
UKR,Ukraine,ECA,EECA,More Developed,97,97,97,94,98,91,97,98,98,99,Upper_secondary
ARE,United Arab Emirates,MENA,MENA,Less Developed,,,,,,,,,,,Upper_secondary
GBR,United Kingdom,ECA,WE,More Developed,,,,,,,,,,,Upper_secondary
TZA,United Republic of Tanzania,SSA,ESA,Least Developed,29,27,32,17,49,6,8,15,29,62,Upper_secondary
USA,United States,NA,NA,More Developed,,,,,,,,,,,Upper_secondary
URY,Uruguay,LAC,LAC,Less Developed,38,29,48,20,40,5,13,41,49,91,Upper_secondary
UZB,Uzbekistan,ECA,EECA,Less Developed,,,,,,,,,,,Upper_secondary
VUT,Vanuatu,EAP,EAP,Least Developed,,,,,,,,,,,Upper_secondary
VEN,Venezuela (Bolivarian Republic of),LAC,LAC,Less Developed,,,,,,,,,,,Upper_secondary
VNM,Viet Nam,EAP,EAP,Less Developed,56,61,50,48,71,19,44,56,70,90,Upper_secondary
YEM,Yemen,MENA,MENA,Least Developed,30,23,37,20,47,9,15,25,33,56,Upper_secondary
ZMB,Zambia,SSA,ESA,Least Developed,30,27,33,13,47,3,8,20,32,66,Upper_secondary
ZWE,Zimbabwe,SSA,ESA,Less Developed,15,14,17,6,29,1,3,7,17,37,Upper_secondary
